id,name,old_tabs,new_tabs,changed,rationale,confidence
7842,"Ogre ribs","Prayer,Quests","Quests",yes,"Rag and Bone Man II quest bone (polished in vinegar for the Odd Old Man) -> Quests; dropped Prayer (not buryable, quest-only item; flagged).",medium
7845,"Jogre bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7848,"Zogre bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7851,"Mogre bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7854,"Monkey paw","Quests","Quests",no,"Rag and Bone Man I quest bone -> Quests.",high
7857,"Dagannoth ribs","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7860,"Snake spine","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7863,"Zombie bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7866,"Werewolf bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7869,"Moss giant bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7872,"Fire giant bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7875,"Ice giant ribs","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7878,"Terrorbird wing","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7881,"Ghoul bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7884,"Troll bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7887,"Seagull wing","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7890,"Undead cow ribs","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7893,"Experiment bone","Prayer,Quests","Quests",yes,"Rag and Bone Man II quest bone -> Quests; dropped Prayer (not buryable, quest-only item; flagged).",medium
7896,"Rabbit bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7899,"Basilisk bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7902,"Desert lizard bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7905,"Cave goblin skull","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7908,"Big frog leg","Quests","Quests",no,"Rag and Bone Man I quest bone -> Quests.",high
7911,"Vulture wing","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7914,"Jackal bone","Quests","Quests",no,"Rag and Bone Man II quest bone -> Quests.",high
7917,"Ram skull helm","Melee,Quests","Melee,Quests",no,"Rag and Bone Man II quest-reward defensive helm (melee/ranged defence) -> Melee, Quests.",medium
7918,"Bonesack","Quests","Quests",no,"Rag and Bone Man II quest-reward defensive cape (+4 all-style defence) -> Quests; combat-cape (Melee/all-style) candidate flagged.",medium
7919,"Bottle of wine","Agility + Thieving,Cooking","Agility + Thieving,Cooking",no,"Wine-stall thieving food (heals 14 but drains Attack, so not combat food) -> Agility + Thieving, Cooking (wine-family convention).",medium
7921,"Empty wine bottle","Misc","Misc",no,"Useless drink by-product -> Misc.",high
7922,"Al kharid flyer","Misc","Misc",no,"Expired-voucher novelty leaflet -> Misc.",high
7927,"Easter ring","Cosmetics","Cosmetics",no,"Holiday-event transform ring -> Cosmetics.",high
7928,"Easter egg","Cosmetics","Cosmetics",no,"Holiday-event novelty food -> Cosmetics.",high
