id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
3144,Cooked karambwan,Melee,"Cooking,Melee,Range,Mage,Slayer",yes,high,Cooked-food 5-tab rule: classic combo food,Yes,
3228,Cooked rabbit,Cooking,"Cooking,Melee,Range,Mage,Slayer",yes,high,Cooked-food 5-tab rule (heals only 5),Yes,
3371,Lean snail meat,"Cooking,Melee","Cooking,Melee,Range,Mage,Slayer",yes,high,Cooked-food 5-tab rule (low-heal trek food),Yes,
3373,Fat snail meat,Cooking,"Cooking,Melee,Range,Mage,Slayer",yes,high,Cooked-food 5-tab rule,Yes,
3381,Cooked slimy eel,Melee,"Cooking,Melee,Range,Mage,Slayer",yes,high,Cooked-food 5-tab rule,Yes,
4291,Cooked chicken,"Cooking,Melee","Cooking,Melee,Range,Mage,Slayer",yes,high,"Cooked-food 5-tab rule (undead, heals 1)",Yes,
4293,Cooked meat,"Cooking,Melee","Cooking,Melee,Range,Mage,Slayer",yes,high,Cooked-food 5-tab rule (undead),Yes,
3840,Holy book,"Prayer,Quests","Prayer,Melee,Range,Mage",yes,medium,God book worn across all combat for +5 prayer; dropped Quests,Yes,
3842,Unholy book,"Melee,Prayer,Quests","Prayer,Melee,Range,Mage",yes,medium,God book (attack) across all combat,Yes,
3844,Book of balance,"Melee,Prayer,Quests","Prayer,Melee,Range,Mage",yes,medium,God book across all combat,Yes,
3839,Damaged book,"Prayer,Quests","Prayer,Melee,Range,Mage",yes,medium,Incomplete Saradomin god book; same expansion as completed,Yes,
3827,Saradomin page 1,"Misc,Prayer",Prayer,yes,medium,God-book page standardized to Prayer (messy source tags),Yes,
3835,Guthix page 1,"Cosmetics,Misc,Prayer",Prayer,yes,medium,God-book page standardized to Prayer,Yes,
3759,Fremennik cyan cloak,Cosmetics,Cosmetics,no,medium,Fashion cloak with cape-tier stats kept Cosmetics (not combat),Yes,
3791,Fremennik boots,Melee,Cosmetics,yes,medium,Fashion line normalized to Cosmetics (was Melee),Yes,
3795,Fremennik skirt,Melee,Cosmetics,yes,medium,Fashion line normalized to Cosmetics,Yes,
