id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
767,Phoenix crossbow,"Quests,Range",Range,yes,medium,"Functional tradeable crossbow, classified by function as Range; dropped Quests.",Yes,
772,Dramen staff,"Misc,Quests,Slayer",Teleports,yes,medium,"Its enduring use is fairy-ring/Zanaris access, a teleport function, so Teleports.",Yes,
773,'perfect' ring,"Crafting,Quests",Quests,yes,medium,"A Family Crest quest ring with no use outside the quest, so Quests; dropped Crafting.",Yes,
775,Cooking gauntlets,"Cooking,Quests",Cooking,yes,high,"A Family Crest reward that reduces fish burning, so Cooking; dropped Quests.",Yes,
776,Goldsmith gauntlets,"Mining + Smithing,Quests",Mining + Smithing,yes,high,"Boosts gold-smelting XP, so Mining + Smithing; dropped Quests.",Yes,
777,Chaos gauntlets,"Mage,Quests",Mage,yes,high,"Boosts bolt-spell damage, so Mage; dropped Quests.",Yes,
778,Steel gauntlets,"Melee,Quests",Melee,yes,medium,"Unenchanted Family Crest hand slot with melee defence, so Melee; dropped Quests.",Yes,
819,Bronze dart tip,"Fletching,Mining + Smithing",Fletching,yes,high,"Smithed tip whose only next step is fletching, so Fletching only; dropped Mining + Smithing.",Yes,
884,Iron arrow,"Fletching,Range",Range,yes,high,"Finished arrow used in ranged combat, so Range; dropped Fletching.",Yes,
948,Bear fur,Misc,Crafting,yes,high,"Wiki recheck: crafted into wooden cats and fur heads, so Crafting (corrected from Misc).",Yes,
950,Silk,"Agility + Thieving,Crafting",Misc,yes,low,"A Thieving-stall trade good with no crafting recipe, sold not consumed, so Misc.",Yes,
968,Rock,Crafting,Misc,yes,low,"A failed-limestone-brick byproduct with no further use, so Misc; dropped Crafting.",Yes,
975,Machete,Fletching,Woodcutting + Firemaking,yes,medium,A Woodcutting jungle tool; the Fletching tag was a stale combined-tab artifact.,Yes,
1052,Cape of legends,Quests,"Melee,Range,Mage",yes,medium,"Per the cape rule, a defensive cape shows in all three combat styles; dropped Quests.",Yes,
1099,Green d'hide chaps,"Crafting,Range",Range,yes,medium,"Finished dragonhide legwear, no further crafting step, so Range; dropped Crafting.",Yes,
