id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
7842,"Ogre ribs","Prayer,Quests","Quests",yes,medium,"Rag and Bone Man II quest bone (polished in vinegar for the Odd Old Man) -> Quests; dropped Prayer (not buryable, quest-only item).",,
7845,"Jogre bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7848,"Zogre bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7851,"Mogre bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7854,"Monkey paw","Quests","Quests",no,high,"Rag and Bone Man I quest bone -> Quests.",,
7857,"Dagannoth ribs","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7860,"Snake spine","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7863,"Zombie bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7866,"Werewolf bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7869,"Moss giant bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7872,"Fire giant bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7875,"Ice giant ribs","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7878,"Terrorbird wing","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7881,"Ghoul bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7884,"Troll bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7887,"Seagull wing","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7890,"Undead cow ribs","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7893,"Experiment bone","Prayer,Quests","Quests",yes,medium,"Rag and Bone Man II quest bone -> Quests; dropped Prayer (not buryable, quest-only item).",,
7896,"Rabbit bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7899,"Basilisk bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7902,"Desert lizard bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7905,"Cave goblin skull","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7908,"Big frog leg","Quests","Quests",no,high,"Rag and Bone Man I quest bone -> Quests.",,
7911,"Vulture wing","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7914,"Jackal bone","Quests","Quests",no,high,"Rag and Bone Man II quest bone -> Quests.",,
7917,"Ram skull helm","Melee,Quests","Melee,Quests",no,medium,"Quest-reward defensive helm (melee/ranged defence) -> Melee, Quests. Combat-gear-as-Quests call.",,
7918,"Bonesack","Quests","Quests",no,medium,"Quest-reward defensive cape (+4 all-style defence) -> Quests. Should this also carry a combat tab (Melee/all-style)?",,
7919,"Bottle of wine","Agility + Thieving,Cooking","Agility + Thieving,Cooking",no,medium,"Wine-stall thieving food (heals 14 but drains Attack, so not combat food) -> Agility + Thieving, Cooking (wine-family convention).",,
7921,"Empty wine bottle","Misc","Misc",no,high,"Useless drink by-product -> Misc.",,
7922,"Al kharid flyer","Misc","Misc",no,high,"Expired-voucher novelty leaflet -> Misc.",,
7927,"Easter ring","Cosmetics","Cosmetics",no,high,"Holiday-event transform ring -> Cosmetics.",,
7928,"Easter egg","Cosmetics","Cosmetics",no,high,"Holiday-event novelty food -> Cosmetics.",,
7934,"Field ration","Cooking","Cooking",no,high,"Bought healing food (heals 10, below the 12 combat-food threshold) -> Cooking only.",,
7936,"Pure essence","Runecraft","Runecraft",no,high,"Raw Runecraft essence -> Runecraft (matches Rune/Daeyalt/Guardian essence convention; mining tab omitted by convention).",,
7938,"Dark essence fragments","Crafting,Runecraft","Crafting,Runecraft",no,high,"Chiselled from dark essence blocks (Crafting), used to craft blood/soul runes (Runecraft) -> Crafting, Runecraft.",,
7939,"Tortoise shell","Crafting","Crafting",no,medium,"Sold to Barlak for Crafting XP -> Crafting.",,
7941,"Iron sheet","Quests","Mining + Smithing,Quests",yes,medium,"Smithed (20 Smithing) to repair the Piscatoris wall in Swan Song -> Mining + Smithing, Quests (matches fresh-monkfish quest-skill precedent).",,
7942,"Fresh monkfish","Fishing,Quests","Fishing,Quests",no,high,"Monkfish caught during Swan Song -> Fishing, Quests.",,
7944,"Raw monkfish","Cooking,Fishing","Cooking,Fishing",no,high,"Fished (62 Fishing) and cooked into monkfish -> Cooking, Fishing.",,
7946,"Monkfish","Melee,Slayer","Cooking,Mage,Melee,Range,Slayer",yes,high,"Cooked high-heal combat food (heals 16, >=12 threshold) -> Cooking + all four combat tabs; corrected the erroneous Melee,Slayer tag (matches Swordfish/Lobster/Shark).",,
7948,"Burnt monkfish","Cooking","Cooking",no,high,"Burnt Cooking by-product -> Cooking.",,
7950,"Bone seeds","Quests","Quests",no,high,"Swan Song quest item (skeleton-mage army) -> Quests.",,
7951,"Herman's book","Quests","Quests",no,high,"Swan Song quest book -> Quests.",,
7954,"Burnt shrimp","Cooking","Cooking",no,high,"Burnt Cooking by-product -> Cooking.",,
7956,"Casket","Quests","Quests",no,high,"Pirate's Treasure quest reward chest -> Quests.",,
7957,"White apron","Quests","Quests",no,medium,"Unobtainable display apron (quest item flag) -> Quests. Cosmetics/Misc candidate?",,
7958,"Mining prop","Quests","Quests",no,high,"Royal Trouble quest prop (despite the name, no Mining use) -> Quests.",,
7959,"Heavy box","Quests","Quests",no,high,"Royal Trouble quest item -> Quests.",,
7960,"Empty box","Misc","Misc",no,high,"Post-quest useless empty box -> Misc.",,
7961,"Burnt diary","Quests","Quests",no,high,"Royal Trouble quest book -> Quests.",,
