id,name,old_tabs,new_tabs,reason
12885,"Jar of sand","Misc","Construction","Matt batch-8 ruling: boss Jar-of-X collectibles are Construction (POH display after beating boss). Construction only."
12936,"Jar of swamp","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
13245,"Jar of souls","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
13277,"Jar of miasma","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
19701,"Jar of darkness","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
21745,"Jar of stone","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
22106,"Jar of decay","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
23064,"Jar of chemicals","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
23525,"Jar of eyes","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
24495,"Jar of dreams","Misc","Construction","Matt batch-8 ruling: jar family -> Construction only."
25521,"Jar of spirits","Construction,Cosmetics","Construction","Matt batch-8 ruling: jar family -> Construction only (dropped Cosmetics)."
25524,"Jar of smoke","Cosmetics","Construction","Matt batch-8 ruling: jar family -> Construction only."
12007,"Jar of dirt","Construction","Construction","NO CHANGE - already Construction only; conforms to the new jar rule."
13116,"Bonecrusher","Prayer","Prayer,Slayer","Matt batch-8 ruling: bonecrusher/ectoplasmator/ash sanctifier are slayer tools; add Slayer back."
25340,"Ectoplasmator","Prayer","Prayer,Slayer","Matt batch-8 ruling: Prayer-grinding-on-task device is a slayer tool; add Slayer back (reverses batch-8 slice drop)."
25781,"Ash sanctifier","Prayer","Prayer,Slayer","Matt batch-8 ruling: Prayer-grinding-on-task device is a slayer tool; add Slayer back (reverses batch-8 slice drop)."
19634,"Soul bearer","Prayer","Prayer","FLAGGED (not changed): ensouled-head Prayer-banking tool, same category as bonecrusher. Confirm if Matt wants Slayer added."
22986,"Bonecrusher necklace","Mage,Melee,Prayer,Range","Mage,Melee,Prayer,Range","FLAGGED (not changed): combat neck that also auto-crushes bones. Confirm if Matt wants Slayer added per the bonecrusher ruling."
