id,name,old_tabs,new_tabs,changed,rationale,confidence
10308,"Black helm (h2)","Cosmetics,Melee","Cosmetics,Melee",no,"A heraldic black full helm (melee defence head-slot).",high
10310,"Black helm (h3)","Cosmetics,Melee","Cosmetics,Melee",no,"A heraldic black full helm (melee defence head-slot).",high
10312,"Black helm (h4)","Cosmetics,Melee","Cosmetics,Melee",no,"A heraldic black full helm (melee defence head-slot).",high
10314,"Black helm (h5)","Cosmetics,Melee","Cosmetics,Melee",no,"A heraldic black full helm (melee defence head-slot).",high
10316,"Bob's red shirt","Cosmetics","Cosmetics",no,"A no-bonus cosmetic shirt (Treasure Trail reward).",high
10318,"Bob's blue shirt","Cosmetics","Cosmetics",no,"A no-bonus cosmetic shirt (Treasure Trail reward).",high
10320,"Bob's green shirt","Cosmetics","Cosmetics",no,"A no-bonus cosmetic shirt (Treasure Trail reward).",high
10322,"Bob's black shirt","Cosmetics","Cosmetics",no,"A no-bonus cosmetic shirt (Treasure Trail reward).",high
10324,"Bob's purple shirt","Cosmetics","Cosmetics",no,"A no-bonus cosmetic shirt (Treasure Trail reward).",high
10326,"Purple firelighter","Cosmetics,Woodcutting + Firemaking","Cosmetics,Woodcutting + Firemaking",no,"A Firemaking consumable that makes purple (cosmetic) fires.",medium
10327,"White firelighter","Cosmetics,Woodcutting + Firemaking","Cosmetics,Woodcutting + Firemaking",no,"A Firemaking consumable that makes white (cosmetic) fires.",medium
10328,"White logs","Woodcutting + Firemaking","Woodcutting + Firemaking",no,"Logs burnt for Firemaking XP (white fire).",high
10329,"Purple logs","Woodcutting + Firemaking","Woodcutting + Firemaking",no,"Logs burnt for Firemaking XP (purple fire).",high
10330,"3rd age range top","Cosmetics,Range","Cosmetics,Range",no,"High-tier Ranged body armour and a prestige rare.",high
10332,"3rd age range legs","Cosmetics,Range","Cosmetics,Range",no,"High-tier Ranged leg armour and a prestige rare.",high
10334,"3rd age range coif","Cosmetics,Range","Cosmetics,Range",no,"High-tier Ranged head armour and a prestige rare.",high
10336,"3rd age vambraces","Cosmetics,Range","Cosmetics,Range",no,"High-tier Ranged hand armour and a prestige rare.",high
10338,"3rd age robe top","Cosmetics,Mage","Cosmetics,Mage",no,"High-tier Magic body armour and a prestige rare.",high
10340,"3rd age robe","Cosmetics,Mage","Cosmetics,Mage",no,"High-tier Magic leg armour and a prestige rare.",high
10342,"3rd age mage hat","Cosmetics,Mage","Cosmetics,Mage",no,"High-tier Magic head armour and a prestige rare.",high
10344,"3rd age amulet","Cosmetics,Mage","Cosmetics,Mage",no,"High-tier Magic neck item and a prestige rare.",high
10346,"3rd age platelegs","Cosmetics,Melee","Cosmetics,Melee",no,"High-tier melee leg armour and a prestige rare.",high
10348,"3rd age platebody","Cosmetics,Melee","Cosmetics,Melee",no,"High-tier melee body armour and a prestige rare.",high
10350,"3rd age full helmet","Cosmetics,Melee","Cosmetics,Melee",no,"High-tier melee head armour and a prestige rare.",high
10352,"3rd age kiteshield","Cosmetics,Melee","Cosmetics,Melee",no,"High-tier melee shield and a prestige rare.",high
10354,"Amulet of glory (t4)","Cosmetics,Melee,Misc","Melee,Range,Mage,Teleports,Cosmetics",yes,"Trimmed glory: all-style combat amulet + teleport, trimmed cosmetic variant. Dropped Misc, added Range/Mage/Teleports.",medium
10362,"Amulet of glory (t)","Cosmetics,Melee","Melee,Range,Mage,Teleports,Cosmetics",yes,"Trimmed glory: all-style combat amulet + teleport, trimmed cosmetic variant. Added Range/Mage/Teleports.",medium
10364,"Strength amulet (t)","Cosmetics,Melee","Melee,Cosmetics",no,"Trimmed amulet of strength (+10 melee strength).",high
10366,"Amulet of magic (t)","Cosmetics,Mage","Mage,Cosmetics",no,"Trimmed amulet of magic (+10 magic attack).",high
10368,"Zamorak bracers","Cosmetics,Range","Range,Prayer",yes,"God blessed d'hide vambraces (Ranged armour, +1 prayer). Normalized god-d'hide family. Dropped Cosmetics, added Prayer.",medium
10370,"Zamorak d'hide body","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling (prestige gear keeps Cosmetics).",high
10372,"Zamorak chaps","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10374,"Zamorak coif","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10376,"Guthix bracers","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10378,"Guthix d'hide body","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10380,"Guthix chaps","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10382,"Guthix coif","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10384,"Saradomin bracers","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10386,"Saradomin d'hide body","Prayer,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10388,"Saradomin chaps","Cosmetics,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10390,"Saradomin coif","Prayer,Range","Cosmetics,Range,Prayer",yes,"God blessed d'hide; Cosmetics restored per Matt batch-5 ruling.",high
10392,"A powdered wig","Cosmetics","Cosmetics",no,"A purely cosmetic head item (emote enhancer).",high
10394,"Flared trousers","Cosmetics","Cosmetics",no,"A purely cosmetic legs item (emote enhancer).",high
10396,"Pantaloons","Cosmetics","Cosmetics",no,"A purely cosmetic legs item (emote enhancer).",high
10398,"Sleeping cap","Cosmetics","Cosmetics",no,"A purely cosmetic head item (emote enhancer).",high
10400,"Black elegant shirt","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing body item.",high
10402,"Black elegant legs","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing legs item.",high
10404,"Red elegant shirt","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing body item.",high
10406,"Red elegant legs","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing legs item.",high
10408,"Blue elegant shirt","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing body item.",high
10410,"Blue elegant legs","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing legs item.",high
10412,"Green elegant shirt","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing body item.",high
10414,"Green elegant legs","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing legs item.",high
10416,"Purple elegant shirt","Cosmetics","Cosmetics",no,"A cosmetic elegant-clothing body item.",high
